round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.76339673743785,0.06687756691180105,,
1,0.7026272830513042,0.07177612493744302,0.6881720430107527,0.7445802128498226
2,0.7599104931277095,0.06717109454885989,0.6835443037974683,0.7635001970831691
3,0.7058836503523506,0.07358170327447106,0.6666666666666666,0.7410327158060701
4,0.7321151403988784,0.06882496996288956,0.6582278481012658,0.7457627118644068
5,0.7651930756995475,0.06374883743129568,0.6666666666666666,0.7587702010248324
6,0.7992629466561668,0.058840076558238745,0.6666666666666666,0.7642885297595585
7,0.6777670316430114,0.07350126537162205,0.6206896551724138,0.6566811194324005
8,0.7733848325091278,0.06419274684352069,0.6436781609195402,0.7221127315727237
9,0.8017747397709429,0.05965844390000752,0.6829268292682927,0.7504927079227435
10,0.7849160349363915,0.06265684943462177,0.6933333333333334,0.7674418604651163
11,0.7917921182761595,0.06107144568055991,0.6666666666666666,0.7635001970831691
12,0.8233202918436849,0.05429059705640151,0.675,0.7564052029956642
13,0.7769496630132857,0.06395867798202368,0.66,0.7303902246748128
14,0.7732209460924843,0.06447669622568752,0.7088607594936709,0.7674418604651163
15,0.794367305246306,0.060387717525572426,0.7441860465116279,0.770595191170674
16,0.7760474690537758,0.062046201698576005,0.7380952380952381,0.7808435159637368
17,0.7807633216700433,0.06100829639476755,0.7,0.7741426882144263
18,0.7754640694526899,0.06329829096059723,0.6829268292682927,0.7709893575088689
19,0.7653206500325036,0.06578411987411249,0.6823529411764706,0.7698068584942847
20,0.7468806137204838,0.06953748290209946,0.7058823529411765,0.7619235317303902
21,0.7740066172706045,0.06788934653831967,0.7111111111111111,0.7725660228616477
22,0.771254931808037,0.06567701366642527,0.7157894736842105,0.7560110366574695
23,0.7726282778563177,0.06623882854556074,0.7083333333333334,0.7646826960977532
24,0.7721600908726716,0.0663370107708947,0.6987951807228916,0.7800551832873471
25,0.7789140922597889,0.06592535536571935,0.6987951807228916,0.7741426882144266
26,0.7547197237572214,0.06775068340474706,0.7073170731707317,0.7666535277887269
27,0.7840245383497199,0.06585139957117953,0.7191011235955056,0.7903035080804099
28,0.7890011714355328,0.06440408762298873,0.7096774193548387,0.7946393378005518
29,0.7866200338748356,0.06517906041791074,0.7191011235955056,0.7966101694915254
30,0.7888493056882118,0.0650632357406434,0.725,0.8005518328734726
31,0.7882730997733641,0.06503917016787357,0.7032967032967034,0.795821836815136
