round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.7312725497758907,0.06469279693299486,1.0,1.5046429151043006e-17,0.35579000895299806,0.07101640524819872
1,0.7639677601104414,0.048774348220286465,0.9037042387347887,0.08359724181748751,0.35579000895299806,0.07101640524819872
2,0.7746065517436446,0.04312069826783875,0.8515171183195623,0.10103672110688883,0.2599234257915014,0.05797168589217476
3,0.7814498760455838,0.03929590353024189,0.9037042387347887,0.08359724181748751,0.3078567173722497,0.055241130525765625
4,0.7996075243498276,0.03486858807415421,0.8515171183195623,0.10103672110688883,0.2599234257915014,0.05797168589217476
5,0.7984777204002199,0.032560213123527,0.9037042387347887,0.08359724181748751,0.2599234257915014,0.05797168589217476
6,0.7903546988121908,0.03048074428340673,1.0,1.5046429151043006e-17,0.35579000895299806,0.07101640524819872
