round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.6899988531618998,0.07233233051502898,,
1,0.7547415777806883,0.06582282500260259,0.6296296296296297,0.6791486007094995
2,0.7792639050488465,0.061167721269389755,0.6666666666666666,0.7410327158060701
3,0.794499959473874,0.060462990897108077,0.6605504587155964,0.7347260543949546
4,0.7469104161627,0.06976523194328141,0.6741573033707865,0.7504927079227434
5,0.761542470463723,0.07034577023064723,0.7126436781609196,0.7587702010248325
6,0.7939289799145808,0.06690749416163187,0.6753246753246753,0.7761135199054001
7,0.728719828440759,0.06743547676601502,0.639344262295082,0.7288135593220338
8,0.7340707563202914,0.07136214821208085,0.6964285714285714,0.7832085139929049
9,0.7205502935755262,0.07344557429741319,0.7130434782608696,0.8037051635790303
10,0.744334844417867,0.07204596071432083,0.7207207207207207,0.793062672447773
11,0.7786365438874618,0.0683319249085315,0.6846846846846847,0.767836026803311
12,0.7863345845509986,0.06689971633968977,0.6981132075471698,0.7694126921560898
13,0.7546120560782634,0.06735878854343967,0.6410256410256411,0.7217185652345289
14,0.8067749280906014,0.06191149749864128,0.7115384615384616,0.7741426882144264
15,0.8183721146705268,0.06239547870213403,0.7526881720430108,0.7820260149783208
16,0.8079249336871802,0.06457730723128823,0.7391304347826086,0.7761135199054001
17,0.8045552124108972,0.06447178916015037,0.723404255319149,0.7737485218762318
18,0.7946968165152225,0.06573818076051136,0.6966292134831461,0.7678360268033111
19,0.780966909734873,0.06984519226426383,0.7254901960784313,0.7418210484824596
20,0.7862954176234194,0.06844782697054541,0.7391304347826086,0.8025226645644462
21,0.7860651524604184,0.06722576109621246,0.7083333333333334,0.7895151754040204
22,0.7949415718631271,0.06524456858806221,0.7128712871287128,0.7867560110366574
23,0.7813699622277325,0.06941921540779616,0.7115384615384616,0.7993693338588884
24,0.8029734425387339,0.06327406980945863,0.7142857142857143,0.7977926685061095
25,0.7936073584791014,0.06593804449677367,0.7102803738317757,0.7973985021679149
26,0.7726431609251072,0.06774683859266811,0.7130434782608696,0.7516752069373276
27,0.7814254427654166,0.0686060399869859,0.6956521739130435,0.7493102089081592
28,0.780918731939208,0.06714146696396264,0.6981132075471698,0.75522270398108
29,0.7950100167023832,0.06629660518492779,0.6909090909090909,0.7540402049664958
30,0.79559071318904,0.06583445415799263,0.7,0.7473393772171857
31,0.7905810880433906,0.06616934876494654,0.7,0.7599527000394166
32,0.8046641315401499,0.062469905446373826,0.6837606837606838,0.7650768624359481
33,0.777583421468848,0.06794275886063139,0.7058823529411765,0.7792668506109578
34,0.8034740186156544,0.06454886765194921,0.7079646017699115,0.7765076862435948
35,0.7911449105690861,0.06473940479409664,0.7142857142857143,0.7906976744186047
36,0.7921288988007016,0.06415706288257964,0.7207207207207207,0.7847851793456838
37,0.8048222831991879,0.06144602819049696,0.7102803738317757,0.7824201813165155
38,0.8044162911185072,0.06338235115943773,0.7102803738317757,0.7966101694915254
39,0.8020043152100472,0.0644304614094856,0.6792452830188679,0.780449349625542
40,0.804517530858594,0.062406566431496266,0.7068965517241379,0.7765076862435948
41,0.7965008840926565,0.06352798263747308,0.693069306930693,0.7808435159637366
42,0.7924053796154406,0.06416726004363764,0.6915887850467289,0.7934568387859676
43,0.7756685063242286,0.06770562134550168,0.7027027027027027,0.7981868348443043
44,0.7731139583983007,0.06764710955202607,0.717391304347826,0.7993693338588884
45,0.7492324154247426,0.06996848464647218,0.723404255319149,0.8214426487977926
46,0.7660800881526189,0.06771600121860323,0.7727272727272727,0.833661805281829
