user,run,seed,n_train,test_auc_mean ± std
39,10%,42,204,0.5311 ± 0.1634
39,10%,123,204,0.3582 ± 0.1129
39,10%,456,204,0.7440 ± 0.1643
39,10%,789,204,0.8271 ± 0.0994
39,10%,1011,204,0.7380 ± 0.1039
39,100%,full_data,2044,0.3883 ± 0.1454
