ID,Substance,Task,Pipeline,Threshold,Sensitivity,Specificity,Accuracy,ROC AUC,AUC_Train,AUC_Val
ID12,Melon,Crave,global_supervised,0.28,0.794 ± 0.233,0.414 ± 0.425,0.717 ± 0.207,0.652 ± 0.337,0.6763076923076923,0.5
ID19,Melon,Crave,global_supervised,0.28,0.522 ± 0.500,0.200 ± 0.153,0.272 ± 0.162,1.000 ± 0.000,0.6763076923076923,0.6923076923076923
ID21,Melon,Crave,global_supervised,0.28,0.999 ± 0.032,0.000 ± 0.000,0.558 ± 0.178,0.635 ± 0.242,0.6763076923076923,0.4153846153846154
ID5,Melon,Crave,global_supervised,0.28,0.942 ± 0.234,0.153 ± 0.085,0.267 ± 0.098,0.478 ± 0.147,0.6763076923076923,0.3941176470588234
