round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.7185526750412439,0.06507552155532029,0.33578282466446957,0.2167200136516237,0.89605301170013,0.12526365517924354
1,0.799631641603233,0.04679214281214354,0.30618971995351135,0.2184734340613932,0.89605301170013,0.12526365517924354
2,0.8047070492720014,0.043770366018260835,0.30618971995351135,0.2184734340613932,0.89605301170013,0.12526365517924354
3,0.8022805950001358,0.040540371823776664,0.3433477416376112,0.2370321257459284,0.89605301170013,0.12526365517924354
4,0.8076701184587177,0.03768219569773877,0.28654773845345566,0.21416016682627187,0.89605301170013,0.12526365517924354
5,0.8146374539318672,0.03666853451838322,0.30491132126538345,0.21136699904049425,0.89605301170013,0.12526365517924354
6,0.824333804691133,0.03291194200116642,0.3420693429494833,0.23061022155029226,0.89605301170013,0.12526365517924354
7,0.8442668914527172,0.03004779017820587,0.3997192370763083,0.2197863889096055,0.89605301170013,0.12526365517924354
8,0.8559879008014173,0.02707506981541476,0.4724122367101304,0.2261306105916818,0.6293203813375705,0.1923854682724585
9,0.8627432628013023,0.025755476678792914,0.41829824791835823,0.22345715998394078,0.89605301170013,0.12526365517924354
10,0.870350036530321,0.025021331498402362,0.4897390385442041,0.21669276554360678,0.4533752226876595,0.20883704274067982
11,0.877764916111314,0.02396402910419627,0.5058725581506425,0.21382683263228489,0.4950105525863868,0.20312491457192142
12,0.885051313579398,0.022235970102042188,0.5239886723663053,0.22495439470269682,0.5573222109875294,0.2061199508606514
