round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,log_loss,Best_F1
0,0.7469823642823004,0.06298859074729321,0.5917747667942705,0.06702797873828224,0.714062788902101,0.06907127637421934,,
1,0.6856183184880047,0.05693460240170069,0.5937386875366809,0.06710358088782734,0.7289800394199555,0.06750857183805936,0.6951892626751406,
2,0.6623596133524932,0.04977691355585777,0.5988266852885854,0.06717328648568384,0.7313640555765031,0.0671960352616521,0.6999579303916968,
3,0.6479908559378382,0.04528010297025139,0.6051940567474663,0.06709566828384984,0.7342537792252801,0.06705396009396557,0.7060390981712632,
4,0.6272612245821376,0.04183822065851794,0.612283117776926,0.06712673116607873,0.7417528542685736,0.06657921863891855,0.71465232512487,
5,0.643526452663993,0.03931793247545123,0.6216136776293009,0.06675428670190671,0.7480442671543496,0.06596518121924817,0.7242626258500006,
6,0.6213976701096245,0.03828197547620824,0.6357182400255748,0.06660675682459308,0.7508248019843081,0.06566758059877571,0.7354209614468352,
