round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,AP_Test
0,9,2644,0.340393343419062,1.0,0.0,0.4384046652190508,0.02016420361020054,0.004256442184895347,0.009756884742401571,0.6929217166076831
1,19,2644,0.7186081694402421,1.0,1.3142909079658601e-17,0.4408146560434213,0.020589261679248416,0.013659297097131661,0.02176146666442223,0.695827369513336
2,29,2644,1.0968229954614221,1.0,1.8586880269489687e-17,0.531756055457095,0.020857431206154808,0.5103327472324966,0.25486344592470456,0.8153882079458821
3,39,2644,1.475037821482602,0.9712647054489676,0.027317648461075806,0.5790963972505996,0.020705947527620422,0.5572384161811644,0.26171494123120786,0.8259855175513997
4,49,2644,1.853252647503782,0.9278423556032378,0.043343126892245246,0.5591721621150735,0.02089500485668405,0.5793913723304934,0.2498200865467734,0.8441965857624678
5,59,2644,2.231467473524962,0.9157221296936096,0.043080901485749834,0.5674122894596537,0.021153287118183785,0.6330424996029407,0.23491561229405475,0.8639530477773091
6,69,2644,2.6096822995461424,0.9014501257379416,0.04304245506936664,0.5662872776151451,0.021184532985723547,0.633473065535497,0.23695552827265384,0.8623091474609128
7,79,2644,2.987897125567322,0.8817348254345069,0.043288563605853196,0.547088936169816,0.021455103533699425,0.4034364414374607,0.14619762043006906,0.8292851340819616
8,89,2644,3.3661119515885023,0.8786796458493372,0.04205170568955251,0.5476909881922545,0.02135028589467476,0.44990268325097826,0.15939918073908496,0.8394358960226006
9,99,2644,3.7443267776096825,0.8700567786560803,0.03997304414984947,0.5540741558832335,0.021386949453893234,0.4347662085537366,0.14791199609650008,0.8389655975753834
10,109,2644,4.122541603630863,0.8600829966710246,0.04063800413361465,0.5709286242012009,0.021150306508445967,0.5554726147937648,0.16292252925107814,0.8665203771786234
11,119,2644,4.500756429652042,0.8340939136442675,0.04258695572081259,0.5761679656633615,0.021204402134639668,0.6099117700278304,0.18104337586120914,0.8744460415604688
12,129,2644,4.878971255673222,0.8168402449423038,0.044875237925052304,0.6143149480744939,0.02065959280329688,0.7747244508762602,0.09958167504506989,0.9608959714225986
13,139,2644,5.257186081694402,0.824037033553575,0.04203541135840981,0.6283311248109673,0.020374337650768414,0.880807505814222,0.06750929560718844,0.9812537159623013
14,149,2644,5.635400907715582,0.8056992856787968,0.04094570597160444,0.6346681107477086,0.020301792211826285,0.8988678359787382,0.07873507865852271,0.9821930540159769
15,159,2644,6.013615733736763,0.7941899377557512,0.04177689746274179,0.626979593922987,0.02069695162782784,0.8634214930522367,0.09863987373259613,0.9746549238231076
16,169,2644,6.391830559757943,0.7820985226006456,0.041478442959165404,0.6252550603403932,0.020756055358567713,0.8983721807297927,0.06421773963124766,0.9837808927828966
17,179,2644,6.770045385779123,0.7881615345820936,0.04063539257222181,0.6299021135600502,0.020672412691670264,0.9211350750272245,0.06576334620612036,0.9863751141622021
18,189,2644,7.148260211800302,0.7785575873227445,0.04070395420488463,0.6331056302638151,0.020777754600415855,0.903696080356574,0.08057692361104932,0.9826889208073077
19,199,2644,7.526475037821482,0.7822541027760513,0.039281743329358444,0.6333918426152532,0.020660134457304413,0.9031964949873024,0.08672088630755084,0.9822355155884359
20,209,2644,7.904689863842663,0.7815694251274492,0.03644164925368829,0.6306992163565239,0.020724772749149724,0.9159419130681372,0.07342982164203721,0.9854678120560265
