user,run,seed,n_train,test_auc_mean ± std
15,10%,42,204,0.6970 ± 0.0881
15,10%,123,204,0.7076 ± 0.0911
15,10%,456,204,0.6964 ± 0.0957
15,10%,789,204,0.7491 ± 0.0866
15,10%,1011,204,0.7800 ± 0.0758
15,100%,full_data,2044,0.7276 ± 0.0824
