seed,num_train,auc_test_mean,auc_test_std
42,126,0.5028521499418223,0.12346600927082535
123,126,0.7069512229881396,0.11232767635733654
456,126,0.45571966952781495,0.12795287152453122
789,126,0.48663570357780905,0.12600582052021939
1011,126,0.6150784157270341,0.11499278785752869
full_data,126,0.3373456105596667,0.14364656687245766
