round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.74282739454028,0.04299831294155226,0.5821270339604805,0.02615675571024326,0.4413576138205159,0.11689427721510792
1,0.7359019142236412,0.03641106039813224,0.5727495866065337,0.025343197858974677,0.29267938218842227,0.10799369727056794
2,0.8003112043694516,0.028141257148822506,0.5879080017479653,0.02536577451064058,0.32011245926040455,0.10861578432686195
3,0.7983216966897281,0.0247486587741188,0.5972762950060926,0.025683428849351538,0.27652801015722617,0.16335355819647027
4,0.7055110939546764,0.026550008676961445,0.5911828392944949,0.025298206962799986,0.25203913016785917,0.1048737035143366
5,0.7570689985642544,0.0223742850361699,0.6158410046852073,0.024276360879223306,0.13959188900677133,0.09275938148149535
6,0.7257769729776279,0.021876489454122863,0.6082015405709447,0.023973217546826395,0.11751045786438004,0.0905577397901518
7,0.7059132754449031,0.02123289633104916,0.6118795338814913,0.02462681383281825,0.17758614029743305,0.09235326373825986
8,0.7536080695904916,0.018285594239981804,0.6374445804566375,0.0246679873552429,0.17709548004460873,0.09486893594232879
9,0.6820176183886592,0.01925217782999472,0.6062051718726548,0.02480463161259017,0.19078723742655787,0.09322812967297825
10,0.7413704146925749,0.017617501970474528,0.6214959000689023,0.024542907067435303,0.15482130258735183,0.08906600835246348
11,0.7392919941309856,0.016337260194323508,0.6311127222247004,0.02468557507586209,0.15360277979695292,0.09779080283539653
12,0.7204509136394988,0.016508251765066886,0.6198655452959401,0.024413456272429034,0.11585546736918477,0.09808558078236927
13,0.8047987916447271,0.0133125185954967,0.6414086388811842,0.024911730096424733,0.21518329668482636,0.08167205707571466
14,0.7448323134450227,0.015092750652739618,0.6296118328988867,0.024728206693015797,0.15482130258735183,0.08906600835246348
15,0.7717605709928892,0.01360523422518487,0.6477478720299044,0.024564487717676872,0.23096110156968166,0.0808375107092582
16,0.8063115810557981,0.01327880097665082,0.6529672080190946,0.024646514519021716,0.3417223179201426,0.12333411615583191
17,0.8070366252695796,0.0122912777591017,0.6614301640519118,0.024310968956054724,0.2682564888860339,0.14253623120698428
18,0.7993186050875124,0.012284530578641558,0.6704475996286378,0.023689093585160973,0.2684103368360365,0.10908451021250803
19,0.7411777758629162,0.013489963917668955,0.6594347787990297,0.02440971857901924,0.18427648307019917,0.1765604191343778
