round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,1.0,9.293440134744843e-18,0.6094588708259402,0.22754539599636636,0.8076393774806473,0.12564479681607643
1,1.0,1.9557274553331352e-17,0.4932162039035151,0.22556592059611952,0.8047794962477502,0.13314667074514358
2,0.9851762930548076,0.012627119164408004,0.5677586358477597,0.23284323885262037,0.6572174574158701,0.16279044399835144
3,0.7685375889955427,0.07112481698812198,0.5880530778944676,0.21268633379931057,0.4714056866834645,0.17811869694795462
