seed,num_train,auc_test_mean,auc_test_std
42,293,0.5285784713564271,0.09161648188874896
123,293,0.6002373623500562,0.08459206359631155
456,293,0.6177562362964302,0.08818600033131123
789,293,0.5521237862706301,0.08871179497650529
1011,293,0.571798025883503,0.09317699255022423
full_data,2935,0.5714920319175073,0.0904769342600739
