round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.8732326040759231,0.04143811469422114,0.38791031825635636,0.21298984518865646,0.7133461328582663,0.19003442663595277
1,0.8269120976468011,0.04701305010020153,0.5214543232873222,0.22158183737476417,0.7751594122650746,0.17329149057272683
2,0.8883749198911006,0.033238823699731954,0.515199964974288,0.21702177546971232,0.9103694608952445,0.11745552322367604
3,0.8186314771345713,0.04095895390696543,0.5063302606231392,0.2177556483025443,0.5573222109875294,0.2061199508606514
4,0.8413643971300109,0.033845001706159616,0.48110639458056714,0.21896382158039585,0.5573222109875294,0.2061199508606514
5,0.8296192163177734,0.03305125353360751,0.4334043997070577,0.2122823821798758,0.5573222109875294,0.2061199508606514
6,0.7724715876942183,0.03752842995606515,0.45587373230803524,0.21542082955961447,0.5573222109875294,0.2061199508606514
7,0.8328175905801547,0.029652471768269757,0.4434471469965452,0.21378176551549657,0.5573222109875294,0.2061199508606514
8,0.7898233479591156,0.03317692602215144,0.4700661110315072,0.2142954816378835,0.8230645433097404,0.14698035780015165
9,0.8043600766424336,0.030027931275808863,0.47191359793666715,0.2146953793090102,0.954555146291749,0.07011135382018797
10,0.7511815084707977,0.033746653096231746,0.3385635278852431,0.21816759417893888,0.6256987176400726,0.19574658733696057
11,0.8660205977789794,0.0244249519403668,0.6093663331263633,0.19429148964994256,0.7784970789798898,0.1647050062720164
12,0.7735751233188115,0.030883915654535847,0.43259683813344796,0.21272633187288187,0.8869909079236683,0.1275545284626913
