seed,auc_test_mean,auc_test_std,num_train
42,0.7665797510563558,0.04661145547189972,
123,0.778662978769501,0.04524818403241859,
456,0.7428275546068116,0.04866295855167911,
789,0.8211211107171258,0.04207218791935296,
1011,0.6166229842510357,0.05705577438824339,
full_data,0.825888905510606,0.04158777179506566,378.0
