round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.973832269449646,0.021359142046446452,0.643235202856395,0.21018033389895333,0.5174197468068272,0.23950540484889177
1,0.9377234987621187,0.03127383067898611,0.7752184822792753,0.17968836678370095,0.7115392223352548,0.23563274907154316
2,0.8665232874281066,0.05259467051997997,0.6978572979065363,0.2131712731361341,0.32359455989923946,0.19426629149185515
3,0.8958144257524927,0.03456670389648841,0.679852491817434,0.21854660139403773,0.4217129696910979,0.22351932800029745
4,0.8732176655141115,0.03648863302046842,0.46840582034581507,0.18937792146819568,0.6250551034248898,0.222041263392936
5,0.9165441041028095,0.02856987331461197,0.4415284658686707,0.2373455672925558,0.5689178333252595,0.2046865734348647
6,0.8710918592223333,0.031905605416661674,0.32760110515165664,0.19952099362083645,0.4930708957031439,0.21697555609550365
