seed,auc_test_mean,auc_test_std,num_train
42,0.6231723014527992,0.0806736437185752,
123,0.6239417957874215,0.08133115469075715,
456,0.6954841628898536,0.07651218623628504,
789,0.609597868779658,0.0831860684925322,
1011,0.5248946593464328,0.08493027508165073,
full_data,0.5270980091889008,0.0849512049002344,211.0
