round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.6046358813744598,0.07153297417859764,0.5144995502380156,0.22549650982962907,0.89605301170013,0.12526365517924354
1,0.7592421858139702,0.048874095341452484,0.4468107497094458,0.20711758858213544,1.0,1.1714617157492636e-17
2,0.7914774433685782,0.04045987159385657,0.47538440718982344,0.21656433321203727,0.8516458423612114,0.12727659814328862
3,0.8030635947109306,0.03538227108790549,0.4778298984254351,0.2217510035574873,0.8087638628083522,0.15035790515707673
4,0.8087748982820738,0.032009125961223246,0.46031160943146904,0.22846689947975105,0.6532894779077791,0.18526058690839714
5,0.8147383074073511,0.029552409089648932,0.46043089586218977,0.21588421804664237,0.5634637761407225,0.1977539115267099
6,0.826317465380854,0.027141689420789292,0.5060370197895273,0.21744268205777278,0.4533752226876595,0.20883704274067982
