round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.5186379799464402,0.0992800286317275,1.0,0.0,0.49730514096185735,0.3173941743098178
1,0.9891281800608509,0.007113614868411909,0.48730158730158735,0.421225509666146,0.5504767827529021,0.2887726864966886
2,0.9718050549373672,0.012439570277146886,0.6509920634920635,0.3673347039603697,0.2933250414593698,0.24389213758441033
3,0.9630338870592933,0.012043639149463936,0.48730158730158735,0.421225509666146,0.5014510779436152,0.27298921166110757
