user,run,seed,n_train,test_auc_mean ± std
30,10%,42,204,0.5823 ± 0.0978
30,10%,123,204,0.6591 ± 0.0828
30,10%,456,204,0.5689 ± 0.0943
30,10%,789,204,0.6197 ± 0.0920
30,10%,1011,204,0.5689 ± 0.0865
30,100%,full_data,2044,0.6220 ± 0.0897
