round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,9.0,2644.0,0.340393343419062,0.2539769435754837,0.25169729893938697,0.6522793678372202,0.01969060928483343,0.7695948967363118,0.05060158998952255
1,12.0,2644.0,0.45385779122541603,0.1653313861776595,0.16447031432492001,0.6538516794750978,0.01976570352994469,0.7827531040053932,0.04948075990212541
2,15.0,2644.0,0.56732223903177,0.29521141421392677,0.21133014831174876,0.6528139891183814,0.019745211595592387,0.7809528435596906,0.04997344916282883
