round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.9191512798935623,0.028531675120858045,0.7433645277108513,0.12214448998132288,0.4964151969027705,0.14136073287826165
1,0.9677133895903607,0.014477873247022537,0.7335707413542341,0.12097672747304299,0.586332862970363,0.13967618128202364
2,0.959869889534129,0.015235298578798278,0.7793811879950114,0.10999329764000253,0.6790890976466344,0.12622060918916872
3,0.9409516406740872,0.020080789447002974,0.741537598606459,0.11698055052570781,0.5936235476778124,0.13754878612828886
4,0.9292713573723332,0.020713922967866023,0.7297220224383459,0.12779257729793905,0.5609335492652772,0.1361571539744422
5,0.8755387868217572,0.0277249561676363,0.6530231523378581,0.14096048529410057,0.6132828136773357,0.1375291573374593
6,0.9013228784088821,0.023762469732225636,0.7891681695306327,0.10880270149123854,0.5414705829423844,0.13864013108863985
7,0.876148987932608,0.026064596342841827,0.612617178683245,0.14268284652155488,0.7180052703628071,0.1237652242694961
8,0.8459733363356852,0.0279460258435874,0.6610151911038308,0.12937751204160083,0.7551552795896914,0.11622885822987214
9,0.8160521422989955,0.03200553419902512,0.7499252704566676,0.12144319793825627,0.824965970687809,0.0997159118228921
10,0.8609629475287119,0.025549378777546462,0.7226114017477621,0.12093348651119802,0.7505061217336585,0.11826543761704132
11,0.8403701850994317,0.025548494371491325,0.6015031581531214,0.13600369710297575,0.6519911334131555,0.13554865740312821
12,0.843062375858181,0.02531941522463047,0.590088755639785,0.13615694315520951,0.6345684622811829,0.1372206884512789
13,0.7864234603552154,0.029044003972131586,0.5445238200524966,0.1389470396100025,0.7724147361053979,0.11053657135876521
