timestamp,value,session
2019-12-06 22:54:44+00:00,0.15010925,A01BB3_191206-225434
2019-12-06 22:54:45+00:00,0.15074975000000002,A01BB3_191206-225434
2019-12-06 22:54:46+00:00,0.15203,A01BB3_191206-225434
2019-12-06 22:54:47+00:00,0.15235,A01BB3_191206-225434
2019-12-06 22:54:48+00:00,0.15267,A01BB3_191206-225434
2019-12-06 22:54:49+00:00,0.15267,A01BB3_191206-225434
2019-12-06 22:54:50+00:00,0.15299000000000001,A01BB3_191206-225434
2019-12-06 22:54:51+00:00,0.15363,A01BB3_191206-225434
2019-12-06 22:54:52+00:00,0.15459,A01BB3_191206-225434
2019-12-06 22:54:53+00:00,0.15523025,A01BB3_191206-225434
2019-12-06 22:54:54+00:00,0.15523025,A01BB3_191206-225434
2019-12-06 22:54:55+00:00,0.156831,A01BB3_191206-225434
2019-12-06 22:54:56+00:00,0.15779075,A01BB3_191206-225434
2019-12-06 22:54:57+00:00,0.15875125,A01BB3_191206-225434
2019-12-06 22:54:58+00:00,0.159391,A01BB3_191206-225434
2019-12-06 22:54:59+00:00,0.16035125,A01BB3_191206-225434
2019-12-06 22:55:00+00:00,0.162272,A01BB3_191206-225434
2019-12-06 22:55:01+00:00,0.16419224999999998,A01BB3_191206-225434
2019-12-06 22:55:02+00:00,0.162592,A01BB3_191206-225434
2019-12-06 22:55:03+00:00,0.163232,A01BB3_191206-225434
2019-12-06 22:55:04+00:00,0.16355199999999998,A01BB3_191206-225434
2019-12-06 22:55:05+00:00,0.16643225,A01BB3_191206-225434
2019-12-06 22:55:06+00:00,0.16483199999999998,A01BB3_191206-225434
2019-12-06 22:55:07+00:00,0.1654725,A01BB3_191206-225434
2019-12-06 22:55:08+00:00,0.15427025,A01BB3_191206-225434
2019-12-06 22:55:09+00:00,0.10113975,A01BB3_191206-225434
2019-12-06 22:55:10+00:00,0.11714325,A01BB3_191206-225434
2019-12-06 22:55:11+00:00,0.0937785,A01BB3_191206-225434
2019-12-06 22:55:12+00:00,0.0940985,A01BB3_191206-225434
2019-12-06 22:55:13+00:00,0.095059,A01BB3_191206-225434
2019-12-06 22:55:14+00:00,0.0944185,A01BB3_191206-225434
2019-12-06 22:55:15+00:00,0.0940985,A01BB3_191206-225434
2019-12-06 22:55:16+00:00,0.09409875000000001,A01BB3_191206-225434
2019-12-06 22:55:17+00:00,0.089938,A01BB3_191206-225434
2019-12-06 22:55:18+00:00,0.09281824999999999,A01BB3_191206-225434
2019-12-06 22:55:19+00:00,0.090898,A01BB3_191206-225434
2019-12-06 22:55:20+00:00,0.09249825,A01BB3_191206-225434
2019-12-06 22:55:21+00:00,0.090898,A01BB3_191206-225434
2019-12-06 22:55:22+00:00,0.096979,A01BB3_191206-225434
2019-12-06 22:55:23+00:00,0.10658075,A01BB3_191206-225434
2019-12-06 22:55:24+00:00,0.10370025,A01BB3_191206-225434
2019-12-06 22:55:25+00:00,0.10114,A01BB3_191206-225434
2019-12-06 22:55:26+00:00,0.10178025,A01BB3_191206-225434
2019-12-06 22:55:27+00:00,0.10658100000000001,A01BB3_191206-225434
2019-12-06 22:55:28+00:00,0.12514475,A01BB3_191206-225434
2019-12-06 22:55:29+00:00,0.14882925,A01BB3_191206-225434
2019-12-06 22:55:30+00:00,0.13090575000000002,A01BB3_191206-225434
2019-12-06 22:55:31+00:00,0.0889775,A01BB3_191206-225434
2019-12-06 22:55:32+00:00,0.096659,A01BB3_191206-225434
