round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.9291437819755181,0.02999964403475925,0.7335143096349763,0.061058927201889136,0.7246178861810431,0.06738287099367501
1,0.9266575223269822,0.028186461829060892,0.6663505324719919,0.06397786757756702,0.7815489153266382,0.062007310289826645
2,0.958173759393892,0.018749521039091423,0.6447714392854921,0.06583372398703813,0.7151929369055864,0.06788013842808006
3,0.8854865308138478,0.0311785732400447,0.6378958284401521,0.06575810647868442,0.6981937492876569,0.06969693224690544
4,0.9585058176565515,0.01702817281912651,0.757969462210933,0.056168992007715426,0.8118551665253141,0.05819540275316206
5,0.9239635384817673,0.022310014283600434,0.5949126292961173,0.06845637876631121,0.7531856931104778,0.06664224487093565
6,0.8851358643171817,0.026376210907745393,0.6070740753410625,0.07143549740797406,0.7779034392984431,0.06197931920627758
7,0.9055857932603693,0.023075839409107873,0.623563383957121,0.06790225279844356,0.8129145554070428,0.057428357710371934
8,0.8558166278646084,0.028351291852172462,0.5441402772192466,0.07059692197801748,0.8045815917146852,0.05845507018726897
9,0.8383831245090615,0.027875277122935093,0.619972251653076,0.06708966878343631,0.8001061962066951,0.06014540224342909
10,0.8239710621229985,0.029455413498298735,0.5354130855563912,0.07126174441543218,0.8115071423029028,0.059435765057782274
11,0.8029376923839439,0.028753565014528984,0.5118328054515223,0.06954444089080834,0.7914184242962878,0.06003613224175491
12,0.8056918143112437,0.029370181166112386,0.4997371627717719,0.0693791973213475,0.805227581831527,0.05772594427492265
