user,run,seed,n_train,test_auc_mean ± std
22,10%,42,204,0.7032 ± 0.2233
22,10%,123,204,0.3803 ± 0.2530
22,10%,456,204,0.4987 ± 0.2324
22,10%,789,204,0.1017 ± 0.0779
22,10%,1011,204,0.2700 ± 0.1269
22,100%,full_data,2044,0.3073 ± 0.1774
