round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,log_loss,Best_F1
0,0.5627735588820131,0.06974545462667801,0.5256550648210145,0.0689369713172142,0.6691111076994759,0.07207533356107239,,
1,0.5771564894213338,0.059934324656972175,0.5471137453558809,0.06793324395468384,0.6348193224515762,0.07660981346153924,0.6863427697124409,
2,0.5740557548532258,0.052675209227393965,0.5939497721584396,0.06727699782833091,0.6589374154959219,0.07648336071989653,0.684459733234902,
3,0.5928155790491676,0.045813099289446366,0.6546451109045627,0.06534855652451771,0.6577531440718226,0.07340157594956494,0.6831201184180737,
4,0.6227464983895272,0.04205281773581466,0.6936176759334214,0.06330016344485667,0.6853100946154346,0.07186519319984322,0.6766212679764202,
5,0.6392499819339403,0.03874799074446608,0.6985767155516792,0.06212168948013137,0.6914812497741359,0.07431646856508443,0.6733309606487472,
6,0.983133951370857,0.007883493513208613,0.6548860300841627,0.06745238875939859,0.6484388951487593,0.07633787671666586,0.9671259908398391,
