user,run,seed,n_train,test_auc_mean ± std
25,10%,42,204,0.7455 ± 0.0727
25,10%,123,204,0.4888 ± 0.0866
25,10%,456,204,0.6596 ± 0.0890
25,10%,789,204,0.5968 ± 0.0823
25,10%,1011,204,0.5795 ± 0.0850
25,100%,full_data,2044,0.7634 ± 0.0695
