round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.9663479835690758,0.02248088042055137,0.7390008186258187,0.13382263247884582,0.4708348597195288,0.14045599643190662
1,0.9622092001786073,0.022816514741618898,0.6243983571983572,0.15038356287204183,0.5859192427507134,0.1356336527600402
2,0.9379698840374993,0.026540947450099227,0.6996970806970808,0.14488670073326412,0.6248101490013255,0.1316109072331209
3,0.8940374357395837,0.030892943942634372,0.6569650377400377,0.1399562522457423,0.5208896523043949,0.14208435062646416
4,0.9538600832863201,0.019321278589512682,0.7455119214119215,0.1297518732078716,0.5799184929694489,0.13525246785704798
5,0.9516834650270862,0.018219444957658298,0.739069943944944,0.12839165131168298,0.6435049414678458,0.13096620469852777
6,0.9256244606972609,0.024277357122996307,0.6703009934509935,0.1403989383504525,0.6104706921346629,0.1386320607006349
7,0.9015046633575978,0.02821522480172908,0.6155324342324343,0.1527019283756091,0.5873928167094343,0.14016014484103267
8,0.8154909693869355,0.03342852285266393,0.5250787018537019,0.1570492102603017,0.657901460394181,0.13318482642437474
9,0.8777627255680001,0.028965237124689635,0.6631246059496059,0.14501093229616835,0.6414828545882223,0.12973915277562129
10,0.8629887778384805,0.02776116923837252,0.7262228271728272,0.1353745551115112,0.7156554848868452,0.12061134114948287
11,0.897484173287724,0.02224793614553191,0.70398778998779,0.13484667240601458,0.6475551087841896,0.12431848593347863
12,0.7703997783115556,0.030354984147493238,0.6157202158952159,0.14551978452183795,0.7524800722561752,0.11126228871700672
