user,run,seed,n_train,test_auc_mean ± std
26,10%,42,204,0.5621 ± 0.1694
26,10%,123,204,0.3309 ± 0.1269
26,10%,456,204,0.5964 ± 0.1387
26,10%,789,204,0.6531 ± 0.1390
26,10%,1011,204,0.6293 ± 0.1382
26,100%,full_data,2044,0.6825 ± 0.1326
