session,first,second,gap_min,participant
A01f4c_190430-161241,event_000,event_001,0.021666666666666667,101
A01b41_190603-165328,event_021,event_022,25.847499983333332,102
A01d53_190531-163843,event_004,event_005,20.123333333333335,102
A01d53_190531-163843,event_007,event_008,28.856833316666666,102
A01d53_190601-155914,event_013,event_014,11.940666666666667,102
A01d53_190602-154348,event_018,event_019,0.051166666666666666,102
A02160_191025-183549,event_001,event_002,0.009000000000000001,105
A02160_200117-211951,event_011,event_012,14.2715,109
A01aa7_200208-144058,event_001,event_002,22.159333333333333,110
A01aa7_200215-152745,event_008,event_009,0.17350000000000002,110
A01b41_200208-143919,event_001,event_002,0.18066666666666667,111
A01b41_200208-143919,event_002,event_003,2.3364999833333333,111
A01b41_200208-143919,event_005,event_006,0.06433333333333333,111
A01b41_200208-143919,event_007,event_008,19.3445,111
A01b41_200208-143919,event_008,event_009,9.517333333333333,111
A01b41_200208-143919,event_011,event_012,27.81716665,111
A01d53_200210-194142,event_000,event_001,15.384499983333335,112
A01d53_200210-194142,event_001,event_002,20.8455,112
A01d53_200210-194142,event_003,event_004,29.504,112
A01d53_200210-194142,event_005,event_006,9.249666666666666,112
A01d53_200210-194142,event_006,event_007,30.636833333333335,112
A01d53_200210-194142,event_007,event_008,3.99,112
A01d53_200210-194142,event_008,event_009,10.16166665,112
A01d53_200210-194142,event_009,event_010,16.398,112
A01d53_200210-194142,event_010,event_011,16.579666666666665,112
A01d53_200210-194142,event_012,event_013,19.298333333333336,112
A01d53_200210-194142,event_013,event_014,35.774833316666665,112
A01d53_200210-194142,event_014,event_015,34.65649998333333,112
A01d53_200212-155534,event_017,event_018,35.05266666666667,112
A01d53_200212-155534,event_020,event_021,12.034333333333333,112
A01d53_200212-155534,event_023,event_024,0.09683331666666667,112
A01d53_200212-155534,event_024,event_025,0.07766666666666668,112
A01d53_200212-155534,event_025,event_026,0.25566665,112
A01d53_200214-180136,event_035,event_036,18.035166666666665,112
A01d53_200214-180136,event_037,event_038,30.411333333333335,112
A01d53_200214-180136,event_038,event_039,4.4126666666666665,112
A01d53_200214-180136,event_041,event_042,35.6795,112
A01d53_200214-180136,event_042,event_043,3.058,112
A01d53_200214-180136,event_043,event_044,0.05983331666666667,112
A01d53_200214-180136,event_044,event_045,0.073,112
A01d53_200214-180136,event_047,event_048,15.830666666666668,112
A01d53_200216-200731,event_054,event_055,24.029333333333334,112
