round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.5100074813636198,0.09005374952873414,0.8923579503743944,0.13047250142959813,0.402443902594505,0.22928277838659505
1,0.5575735779957814,0.06887127684442533,0.5896405324719816,0.2706202511269143,0.3665220405431249,0.22476932107032088
2,0.5998791834695296,0.05891057096820402,0.3490725786717565,0.2706440466335899,0.38766932810607513,0.2220010121659811
3,0.6063508018175805,0.052947563074730246,0.4622222630059218,0.2646358841445904,0.355273076432715,0.22209119143581785
4,0.6158639172361268,0.04547753415869579,0.5478466206626535,0.2598290536514566,0.26028200101995286,0.18796355171544618
