seed,num_train,auc_test_mean,auc_test_std
42,264,0.7474977695530904,0.07320922175373681
123,264,0.809015881452822,0.06081950916795098
456,264,0.7296639041971559,0.07442398480274724
789,264,0.7487639701167248,0.06921155636380244
1011,264,0.7362008845057006,0.07412398072955587
full_data,2644,0.8122152481023659,0.061751395547497256
