round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,AP_Test
0,9,2644,0.340393343419062,1.0,0.0,0.4384046652190508,0.02016420361020054,0.004256442184895347,0.009756884742401571,0.6929217166076831
1,19,2644,0.7186081694402421,1.0,6.090083932026908e-18,0.5257332327548117,0.0215387681028557,0.5131004467851787,0.22178858421083938,0.8370963619574577
2,29,2644,1.0968229954614221,0.9943918790400775,0.011485069942594878,0.5962322796197448,0.021298418739203066,0.6094325229305707,0.2430002584802967,0.8531898121318552
3,39,2644,1.475037821482602,0.9907179680913993,0.014196125871858164,0.6074509652246394,0.021419547850383698,0.6287355105890633,0.2383714236800277,0.8594397068408182
4,49,2644,1.853252647503782,0.9820545739100759,0.019321418507812996,0.6331984272853337,0.02138590371312672,0.6154302456983818,0.23267712892597395,0.8617835646729761
5,59,2644,2.231467473524962,0.9547093557639662,0.031088870168998962,0.631239800245296,0.021367943093949078,0.7575581622041883,0.1644264016175146,0.9427575887345849
6,69,2644,2.6096822995461424,0.9524506155713434,0.029476239654620807,0.6270560168304179,0.02103366608338905,0.7352912448065643,0.17918439684085932,0.9293132791087693
7,79,2644,2.987897125567322,0.8841992816065856,0.047579934966253144,0.6556471764739588,0.02026937026720347,0.8589903976534248,0.10117708015247519,0.9736128251442364
8,89,2644,3.3661119515885023,0.8924735076401901,0.04225187247580838,0.6488885059155491,0.020208279208012835,0.8857773625351388,0.09392102899901983,0.9782825003431652
9,99,2644,3.7443267776096825,0.8662952020015507,0.04280582325903364,0.649535907474848,0.020423876934068264,0.8768143093559846,0.10209744279520559,0.976022750594978
10,109,2644,4.122541603630863,0.8561341175413686,0.04208357373068057,0.6602037331601364,0.02014101240490419,0.9299913629517789,0.06286966190062801,0.9877323093606789
11,119,2644,4.500756429652042,0.8649266968384416,0.03964409245068946,0.6610890410111768,0.020276578208533177,0.929318377797762,0.06526413622002446,0.9875728184230357
12,129,2644,4.878971255673222,0.8518932253759341,0.038100867644725485,0.6686493649159723,0.020022914098813172,0.9424279204492398,0.05446682026601021,0.9901765100733806
13,139,2644,5.257186081694402,0.8343674198447949,0.04007668944120761,0.678533578103406,0.01990819585318268,0.9642551408886318,0.04479612473733973,0.9939223694887447
14,149,2644,5.635400907715582,0.8264941318051151,0.03939899226216431,0.6820312461756713,0.019736023188874654,0.9682562342562279,0.040785583282386226,0.9947669640833392
15,159,2644,6.013615733736763,0.8220996958935705,0.039527417728202036,0.678730078267401,0.019734718544222152,0.973696362445017,0.037686143538356524,0.9954428873766168
16,169,2644,6.391830559757943,0.8128394717641981,0.03761759780607652,0.677924289639212,0.019637218799626887,0.9684582778747541,0.044279870485494165,0.9945982927820222
17,179,2644,6.770045385779123,0.8152132304897987,0.036450533128440835,0.6831834718174933,0.019644609144653075,0.9818446730194187,0.02867019154635067,0.9970568007552361
18,189,2644,7.148260211800302,0.8270340978153841,0.035871738211934553,0.6836132050894307,0.019815439871892163,0.9818446730194187,0.02867019154635067,0.9970568007552361
19,199,2644,7.526475037821482,0.8222125752604104,0.03473940437002343,0.6876246418590656,0.019702664075261538,0.9602001404088263,0.046029977190849045,0.9932315140325976
20,209,2644,7.904689863842663,0.8217652000553874,0.03371248416232413,0.6851330618471566,0.01965325123790884,0.9693025643686729,0.03560300135348899,0.994895109446193
