round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.6848070650053129,0.07307144346775524,,
1,0.8200269735519173,0.05364871577390501,0.6610169491525424,0.7351202207331493
2,0.7994521529828701,0.056909823030269716,0.6666666666666666,0.7296018919984233
3,0.8034820559187531,0.06034910713191438,0.6722689075630253,0.7504927079227434
4,0.7524412216466526,0.0689881649094667,0.6972477064220184,0.7804493496255419
5,0.7479700965882966,0.06705523825334851,0.6909090909090909,0.7792668506109579
6,0.7697582079697495,0.06476693245844858,0.7045454545454546,0.7674418604651163
7,0.7328202598974604,0.06823953538179026,0.6605504587155964,0.6988569176192353
8,0.7705518019381012,0.06410572772255727,0.6956521739130435,0.7619235317303903
9,0.7744675580874942,0.06348182065617022,0.6966292134831461,0.7737485218762318
10,0.803485757196217,0.060052859494671644,0.6804123711340206,0.7229010642491132
11,0.7830738463006992,0.06423325765884164,0.6851851851851852,0.739850216791486
12,0.7812722380565171,0.06572320909725397,0.7157894736842105,0.7662593614505321
13,0.8172401731550184,0.05776240652859143,0.6851851851851852,0.7883326763894363
14,0.8006477605079407,0.0633057053632292,0.7068965517241379,0.7851793456838786
15,0.8072754622054542,0.05932408946275506,0.7068965517241379,0.785967678360268
16,0.787333061907827,0.06499350950090967,0.7256637168141593,0.7922743397713835
17,0.7705813959612785,0.068602768095948,0.7047619047619048,0.7642885297595585
18,0.7631295489738031,0.06732827468543673,0.7238095238095238,0.7934568387859676
19,0.7636796396552873,0.0678212904332924,0.7184466019417476,0.8005518328734726
20,0.817030787536355,0.060445991162703855,0.6990291262135923,0.7906976744186046
21,0.7946822095110622,0.0639000240039113,0.7070707070707071,0.8001576665352779
22,0.7764050228296092,0.06737320130534213,0.7115384615384616,0.8068584942845881
23,0.7726267155121177,0.06705645114858727,0.7326732673267327,0.8025226645644462
