seed,auc_test_mean,auc_test_std,num_train
42,0.4880887643818406,0.08746452223758733,
123,0.5510260490099211,0.08970233278441568,
456,0.5513568907658561,0.0931292133586835,
789,0.5592194740926223,0.08829667166735153,
1011,0.5288251000020991,0.09294153163220106,
full_data,0.5436185844037218,0.08132848807584903,217.0
