user,run,seed,n_train,test_auc_mean ± std
35,10%,42,204,0.4591 ± 0.2481
35,10%,123,204,0.6202 ± 0.1657
35,10%,456,204,0.6224 ± 0.2672
35,10%,789,204,0.4423 ± 0.2207
35,10%,1011,204,0.6272 ± 0.2691
35,100%,full_data,2044,0.4389 ± 0.1733
