round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.7630469094873932,0.06860287350085235,,
1,0.8290870032822135,0.055121414491047925,0.693069306930693,0.7059519117067403
2,0.8395176604248864,0.05168719275085582,0.6736842105263158,0.7406385494678756
3,0.8349055383532094,0.05387513586886112,0.723404255319149,0.7477335435553804
4,0.8211100036017344,0.058855273566264216,0.6739130434782609,0.7469452108789909
5,0.8128527575675473,0.06105958777624791,0.7157894736842105,0.7615293653921955
6,0.8149892062117262,0.05989826406584995,0.7102803738317757,0.7611351990540007
7,0.7700958766361343,0.07032142117442215,0.7586206896551724,0.8202601497832085
8,0.7780538394114874,0.06662556489256273,0.7157894736842105,0.8096176586519511
9,0.7800253070986307,0.06550804604252333,0.7128712871287128,0.8033109972408357
10,0.777998903646924,0.06687676587677749,0.7254901960784313,0.8072526606227828
11,0.7824460359678885,0.06358412398380452,0.7294117647058823,0.8060701616081987
12,0.7837013318673186,0.06490957475054127,0.7326732673267327,0.8029168309026408
13,0.794290652000371,0.06373777699016822,0.7155963302752294,0.7883326763894363
14,0.7821530851181548,0.06569752095700884,0.7472527472527473,0.815530153724872
15,0.7952965999467355,0.06394800457175222,0.7010309278350515,0.7910918407567993
16,0.7889724217847289,0.06452811245030159,0.7032967032967034,0.7851793456838786
