round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,4,2644,0.15128593040847202,1.0,0.0,0.3717600861434878,0.02009637431028191,0.18981407848003037,0.07358113358198137
1,21,2644,0.794251134644478,1.0,0.0,0.4717927624939475,0.02114806128181699,0.46360700553039985,0.0972091252510872
2,24,2644,0.9077155824508321,1.0,1.4106958667654454e-17,0.6139772607553593,0.021467430204762026,0.789902029864835,0.0892266131918282
3,47,2644,1.7776096822995462,1.0,1.0585561196991747e-17,0.6042631336385355,0.021616483860540405,0.7260950425356254,0.1044569149545597
4,74,2644,2.798789712556732,1.0,1.6104772955541584e-17,0.6108357526814727,0.021039983635073433,0.7283777260867725,0.09066530565899561
5,101,2644,3.8199697428139183,1.0,1.7208107345559408e-17,0.5943125140870589,0.021394433088371977,0.6862683798843298,0.09821343380187071
6,104,2644,3.933434190620272,0.9991121201629558,0.001986986550502695,0.5910921122219353,0.02163358055859131,0.7153141297561949,0.09784142670032199
7,131,2644,4.954614220877458,0.9711505360689046,0.019704988172809784,0.6049467481279541,0.020854633810883483,0.734230100493876,0.09389354471753654
8,134,2644,5.068078668683812,0.9516199578816436,0.027312955198935118,0.6502263393398091,0.020977548275045235,0.7768833738568806,0.08866459667610149
9,161,2644,6.0892586989409985,0.9628427674305369,0.02449494103164338,0.6102775339319871,0.020975089162802697,0.7561669442027902,0.09148621546637986
10,164,2644,6.202723146747353,0.9789392817142673,0.016525023830592293,0.6023523570193589,0.021101413677169674,0.8103106598388624,0.08843783742804028
11,191,2644,7.223903177004539,0.9406213238647276,0.02481932198145088,0.6140321860545914,0.02055804185271599,0.8200768032449708,0.08609203110334643
12,220,2644,8.32072617246596,0.930020054800585,0.0328312107547452,0.6014003378828909,0.02056227522195851,0.8357624324277725,0.08485200240535432
13,223,2644,8.434190620272314,0.8826230855686126,0.051484733379235786,0.5819022330824101,0.02108572454981825,0.7458860646146565,0.096018298521212
14,226,2644,8.547655068078669,0.8789912004046349,0.05078655468047092,0.5808656956333474,0.020429209649528803,0.733538368704333,0.09947376669577379
15,255,2644,9.64447806354009,0.8454519406478289,0.05709375333606816,0.5957908721361966,0.020866231565484304,0.8157770659244418,0.08792198136999288
16,284,2644,10.741301059001513,0.8465811310659072,0.0556096883715827,0.6433690520275308,0.019828701257437836,0.8638361766534463,0.06655153076361713
17,313,2644,11.838124054462934,0.8469438380624138,0.04511483750012678,0.5855865842442399,0.02068206200482257,0.7775614447841144,0.09373668895318284
18,316,2644,11.951588502269288,0.8724038787278897,0.057286122538978336,0.5998183366688722,0.02137853464488937,0.7769407396701579,0.10265924515329806
19,319,2644,12.065052950075643,0.8437995520399528,0.052782688067624435,0.5767322074162218,0.021770256862124183,0.7563721019143854,0.09907356147235649
20,322,2644,12.178517397881997,0.9143518404050544,0.04464803040348241,0.6095519627560659,0.02168692303508099,0.7396752249359085,0.0985085372963584
