user,run,seed,n_train,test_auc_mean ± std
23,10%,42,204,0.2732 ± 0.0912
23,10%,123,204,0.4578 ± 0.1106
23,10%,456,204,0.4195 ± 0.1042
23,10%,789,204,0.2602 ± 0.0933
23,10%,1011,204,0.3633 ± 0.0867
23,100%,full_data,2044,0.1402 ± 0.0627
