user,run,seed,n_train,test_auc_mean ± std
32,10%,42,204,0.7971 ± 0.1600
32,10%,123,204,0.4025 ± 0.1578
32,10%,456,204,0.5025 ± 0.1577
32,10%,789,204,0.5715 ± 0.1562
32,10%,1011,204,0.6278 ± 0.1668
32,100%,full_data,2044,0.7388 ± 0.1398
