round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,AP_Test
0,581,2644,21.97428139183056,0.7570529290136877,0.02305026841917558,0.6523784766660167,0.020301912653350913,0.7977418289121531,0.04760708666810097,0.839483166914733
1,681,2644,25.75642965204236,0.7550822425253424,0.021453533818696118,0.680224382013934,0.019912337277640992,0.8060788663198162,0.04976400637735036,0.8226631180652557
2,781,2644,29.538577912254162,0.777940215664229,0.018376237089334474,0.6706310056289658,0.01973654139375358,0.779139087441856,0.04888167183009235,0.7752950375261587
3,881,2644,33.32072617246596,0.736100877304174,0.019273642951487886,0.6925354742497687,0.018893901209769286,0.8168587861045592,0.0462975148794705,0.8266982602219395
4,981,2644,37.10287443267776,0.7618534595223668,0.017867937552688104,0.6667647707162644,0.019556120468534416,0.7669288764652064,0.05156099868856438,0.776730812914901
5,1081,2644,40.885022692889564,0.6937449768247516,0.019222404845559957,0.702232454098788,0.018761096609648024,0.8069014907573546,0.0500277205578322,0.86003723665956
6,1181,2644,44.66717095310136,0.7087370052737142,0.017487503218836846,0.690203116540341,0.019074831466949483,0.805125808415253,0.04594798704737697,0.8227295082920387
7,1281,2644,48.44931921331316,0.7289056760688454,0.01651421327798659,0.6814978423738562,0.019222781294563746,0.7710657817622816,0.05438460029021305,0.7653668958084772
8,1381,2644,52.231467473524965,0.7148706630792077,0.016184278876296743,0.6935448868415007,0.019225682434009232,0.8015818993762651,0.048697607143426705,0.8388801541768108
9,1481,2644,56.01361573373676,0.6961340721677534,0.016362274351648935,0.7017039290747564,0.01903529737731596,0.7915000033145893,0.05151588444619432,0.8394582024937425
10,1581,2644,59.79576399394856,0.7036825762510546,0.015469530448612472,0.6947034353574645,0.018978552089962963,0.8079753074235194,0.04920380363593625,0.8635479399465715
11,1681,2644,63.57791225416036,0.6945147800074883,0.01525904683898476,0.6769416085787169,0.01961474050801902,0.8188505176137357,0.04865468797218803,0.8698870879716086
12,1781,2644,67.36006051437217,0.7052745574223962,0.014622180840025072,0.6908131382274812,0.019154416841582984,0.7953306928620556,0.052452519324846986,0.8435968439114013
13,1881,2644,71.14220877458396,0.6858565943681354,0.01389760443184766,0.6936436365608454,0.018932367079999665,0.8071276152226319,0.050378510275910775,0.8603777391690717
14,1981,2644,74.92435703479576,0.678098347265056,0.01427626090775696,0.7030180316935308,0.019003539088452214,0.8143556914080395,0.04759735327147006,0.8570744309490446
15,2081,2644,78.70650529500756,0.6964360953852773,0.013897384196709755,0.688675782270556,0.018966218621198128,0.8203448482483018,0.04535004395503724,0.8711725766484046
16,2181,2644,82.48865355521936,0.6913769038028763,0.013799154794452838,0.6964207644044375,0.019173613015510634,0.7888912867252097,0.05167611405569565,0.8371958979522357
17,2281,2644,86.27080181543117,0.6918215805019807,0.01295983561617388,0.7106619088133804,0.01864252306941693,0.8094436816566616,0.0494849351996207,0.8394308493974894
18,2381,2644,90.05295007564297,0.7019833157405558,0.013040453888377873,0.7008233854447244,0.01910779744265676,0.8041087991595246,0.05055771001176615,0.8628928969630887
19,2481,2644,93.83509833585477,0.6994902687514648,0.01228574413732098,0.6950902332286091,0.01873881216223993,0.7988597144071022,0.0519911613222769,0.866769845603989
20,2581,2644,97.61724659606656,0.7075230726555976,0.011968720151704703,0.6938277873182037,0.018617127343323405,0.8122803573323067,0.04821855712322932,0.8723998112710089
21,2644,2644,100.0,0.7078137148244317,0.011715331937106383,0.7075318435046863,0.018718311357914064,0.7979278593454585,0.0490596857404051,0.8462291362029448
