round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,4.0,2644.0,0.15128593040847202,1.0,0.0,0.3718649935570164,0.014231327592065864,0.22304220326409793,0.06095249844617211
1,7.0,2644.0,0.264750378214826,1.0,1.2677520655195429e-17,0.4831831113752621,0.014484473428691531,0.4985453934409592,0.07134410854898554
2,10.0,2644.0,0.37821482602118,1.0,1.0537770608914909e-17,0.5683174101656421,0.01481898405398488,0.6402053243077246,0.07991791827469467
3,13.0,2644.0,0.491679273827534,1.0,1.9870210816405403e-17,0.59998142528705,0.014111326733918008,0.7377902423734164,0.0726569707616199
4,16.0,2644.0,0.6051437216338881,0.9868731274600716,0.021341729814977017,0.6111080103679726,0.013976024820710689,0.7028746070732304,0.06787580308846321
5,19.0,2644.0,0.7186081694402421,0.9943079524935562,0.009669794154142453,0.5996999795199051,0.014058252415134248,0.6937076959468711,0.06883902067674706
6,22.0,2644.0,0.8320726172465961,0.9558866883722014,0.03506744410852416,0.6423070340963627,0.013746389976805367,0.7441843065257537,0.0675316482769577
7,25.0,2644.0,0.9455370650529501,0.9869329380356655,0.013755689625888134,0.63840796208839,0.014089341510775589,0.7405643083287028,0.06868715522403072
8,28.0,2644.0,1.059001512859304,0.9902296753584657,0.013506722728263662,0.6508640364808255,0.014092486573268536,0.7687432848123072,0.06600366546038612
9,31.0,2644.0,1.172465960665658,0.9631418511628167,0.027070057917409754,0.6464766164603074,0.013932040540186182,0.8036381609756492,0.06065915396893748
10,34.0,2644.0,1.285930408472012,0.9709705424492963,0.020817052131530185,0.6590920264002521,0.014189071724047554,0.794304608271868,0.06021450185203324
11,37.0,2644.0,1.399394856278366,0.9849392749067697,0.015995639743901214,0.6499690214440061,0.014016632792386002,0.8347408793296607,0.05504572580481987
12,40.0,2644.0,1.51285930408472,0.9684259506854764,0.018507938878407286,0.6440601316578443,0.014296427793235941,0.7903462488014641,0.06421889475818089
13,43.0,2644.0,1.626323751891074,0.9574388586507963,0.022142533852231343,0.6348450844550386,0.014624538341690604,0.8013502297145356,0.057409680380917864
14,46.0,2644.0,1.739788199697428,0.945307923025805,0.027409890630406542,0.6446993572254714,0.014371508459334839,0.8089104649375319,0.05723883605940751
15,49.0,2644.0,1.853252647503782,0.9352382387685816,0.029684950855012122,0.6366129459630856,0.014604046327762592,0.6976913499472646,0.0691332594194368
16,52.0,2644.0,1.966717095310136,0.9224255488045358,0.03141163226051643,0.6630059496535239,0.014347820873589478,0.8276560959655379,0.053990096767273475
17,55.0,2644.0,2.08018154311649,0.9560220823875304,0.02034369557432628,0.6399002749998306,0.014735563613990988,0.7625176568062384,0.06250403156799904
18,58.0,2644.0,2.1936459909228443,0.9271864926929866,0.02686668256438477,0.6488274522930466,0.014338043997867277,0.7952400904838123,0.05966036797810602
19,61.0,2644.0,2.307110438729198,0.9213275827521781,0.027628113836073692,0.6341533087781178,0.014421424241674839,0.7981602782684408,0.06243273352311075
20,64.0,2644.0,2.4205748865355523,0.9497081984297877,0.020257402547730907,0.6500061120652851,0.014197929838275735,0.7835607431298265,0.061999778473048335
