round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.7987543581425569,0.03752735332789467,0.6024147807111825,0.025866261541688203,0.5880897949043621,0.171399789021742
1,0.7885790192552813,0.03067486520809251,0.617919565841742,0.02529280101001919,0.4789062607395816,0.1596704538769165
2,0.7830288339331064,0.027999508625595276,0.6096340654250243,0.02512855713302225,0.5006241500072963,0.1489766817658723
3,0.7537425509962538,0.025647293871735942,0.6165770060045273,0.02496285782568975,0.6059010167283697,0.1621536233649628
4,0.7302942070089279,0.024325964262267397,0.6214296957699118,0.024697371782618063,0.5828433316298045,0.16521745036254484
5,0.7855671938927742,0.020026479047667696,0.6366624125857627,0.02485650725042968,0.580359754075023,0.14588307041822393
6,0.7402776817995871,0.021180315243686545,0.6232492358601847,0.024729298553664847,0.5335940493522577,0.1609249631057257
7,0.7818387727773861,0.017697224639660256,0.6433255611857585,0.024359531536632558,0.5041129423714641,0.13896896820021112
8,0.7586819136918036,0.018112032175459775,0.6404110183950464,0.024514649611095167,0.5076140170137533,0.14401719285317993
9,0.8243170836489876,0.01548289888403584,0.6568312418853144,0.023961987512663797,0.6548011521548912,0.1171730192067826
10,0.8012462071495493,0.01530736361455186,0.6656181165607759,0.024317456842824835,0.6118158833317848,0.12457096957739237
11,0.7957074788519981,0.014883241411879933,0.6577195956042001,0.02405382086190879,0.6257752102959072,0.13196005614682918
12,0.7845478203364976,0.014753251926763255,0.6544332572578723,0.024078605322463923,0.5319686136244102,0.14766665891721398
13,0.7846829678703721,0.013946308785762734,0.6740429653995871,0.023688783994359964,0.5851898418250508,0.13537726037179648
14,0.8507987247993433,0.0114900072463098,0.704665640545934,0.022912091942809243,0.5563835380036997,0.12392228861453283
15,0.8168398268857259,0.012503054728894606,0.6793075286927576,0.02379223705246866,0.5705119600937048,0.12980792676486827
16,0.8202682433068937,0.011910076688907248,0.6801457815618276,0.023644160720911103,0.6400551478427738,0.11257202274644673
17,0.7790722806443076,0.012975395509826872,0.6765644495220711,0.023925307103472966,0.6412771707380579,0.11834981085636503
18,0.8216966337561098,0.011234359194380338,0.6790242759222666,0.023341575157291794,0.6605073939867983,0.11173502775819555
19,0.8202090353548789,0.011752575489502239,0.6860482833284132,0.023610811576496644,0.6628475101142705,0.11088155282703714
