user,run,seed,n_train,test_auc_mean ± std
20,10%,42,204,0.4699 ± 0.1032
20,10%,123,204,0.4311 ± 0.1140
20,10%,456,204,0.5806 ± 0.1134
20,10%,789,204,0.5901 ± 0.1149
20,10%,1011,204,0.5283 ± 0.1116
20,100%,full_data,2044,0.6638 ± 0.1059
