round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.8356366876399829,0.04695162895564992,0.35668901545907566,0.21766744294466114,0.7330837225351886,0.18060509360192556
1,0.8941679232501936,0.035786309464453464,0.6009517441212526,0.22619147863770464,0.5573222109875294,0.2061199508606514
2,0.870502155733502,0.03541242213518769,0.447518786518285,0.21297324030819098,0.5573222109875294,0.2061199508606514
3,0.8449049325060807,0.037333435624466914,0.38859085192084186,0.21492247084472615,0.5573222109875294,0.2061199508606514
4,0.8444410398278894,0.03445748107666189,0.46236893219340564,0.22175639454412582,0.5573222109875294,0.2061199508606514
5,0.8582779113076848,0.030775597502321686,0.5977084427886835,0.22352082640285978,0.5573222109875294,0.2061199508606514
6,0.850850442667725,0.030282155239363534,0.5150999426851984,0.21673202741357522,0.5153626398318005,0.20362189758454774
7,0.8359979059758003,0.02996696483712744,0.4811043248794001,0.21481754401876116,0.5573222109875294,0.2061199508606514
8,0.8409618572117943,0.02935425476217373,0.5220002467720622,0.22000255303822688,0.5573222109875294,0.2061199508606514
9,0.8594106397629185,0.02569287800841925,0.5680862030536052,0.2193422628533886,0.5573222109875294,0.2061199508606514
10,0.8745484418133236,0.0241204164875443,0.6928077088408081,0.19139424941644673,0.5573222109875294,0.2061199508606514
11,0.8686329232526943,0.025366915295374565,0.5351680040120361,0.2199431643312485,0.5573222109875294,0.2061199508606514
12,0.8757809877947912,0.024028546003875717,0.7298104432344653,0.17988005497158996,0.714689120002568,0.19018031971794083
