seed,auc_test_mean,auc_test_std,num_train
42,0.4632693110727455,0.10187986612711979,
123,0.525840988144623,0.11166774903770307,
456,0.2421939762025545,0.10847118066967593,
789,0.5013897566420384,0.11053214101892515,
1011,0.47312547321081977,0.09642232905260556,
full_data,0.48916029416510115,0.10418336792059261,189.0
