round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.9070245968396939,0.03365194668406421,0.4343965830607052,0.2684306586998068,1.0,0.0
1,0.9133734818026981,0.03227434805320966,0.43949775839088817,0.26241504299687235,1.0,0.0
2,0.9227516445478638,0.025374238474700935,0.6731006906579425,0.25243197337059897,1.0,0.0
3,0.8974534581877665,0.030644577853497636,0.72923179449897,0.24694312067607524,1.0,0.0
4,0.8466054711607788,0.033646800144238764,0.9505513146734521,0.1020382948908896,1.0,0.0
5,0.8621632412676581,0.029767271715330605,0.6694111232279171,0.26678722692533335,1.0,0.0
6,0.8851875851239833,0.025989529128332144,0.9505513146734521,0.1020382948908896,1.0,0.0
7,0.8370511147209101,0.029535134414377853,0.7258118260026657,0.24007794659026876,1.0,0.0
8,0.8970609369275098,0.02474595404593944,0.7785744577729311,0.22103667660167134,1.0,0.0
9,0.8965504344110675,0.022614491527362827,0.8994850357445777,0.15040279640821524,1.0,0.0
10,0.8129721716998658,0.030590415769465,0.8916030534351145,0.1632500078091857,1.0,0.0
11,0.8933367140754035,0.0222860761438598,1.0,0.0,1.0,0.0
12,0.8439099745915262,0.026259624593660574,0.8916030534351145,0.1632500078091857,0.6652711323763955,0.33951069383678406
