round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.9937897354795107,0.006485763993526404,0.6675082840834999,0.06522961192514559,0.6851264669865216,0.0718371846929849
1,0.9267844029326329,0.027432367001151547,0.6758688378204147,0.06475235910948542,0.8026192060575417,0.05643543711711549
2,0.9292990054889131,0.025810941393711376,0.6274868513612708,0.06560568442967692,0.7440637042286067,0.06550364914676574
3,0.9706933918450564,0.01538652043194667,0.7307449073857395,0.06061262161551618,0.6630941131293016,0.07491752609832021
4,0.9191151696815771,0.025106162080875547,0.7346138461438626,0.05966844904074554,0.7700758998162328,0.06301929212046796
5,0.9354579182263226,0.02109429027489955,0.7600730237969135,0.06076532202748424,0.7842327095757378,0.06541039576934406
6,0.9414799750836171,0.019564297131708094,0.6722749620636373,0.06712886254839803,0.7260758077260959,0.06739816088413221
7,0.8994952801925865,0.024789140667349795,0.6823985386567033,0.0653368112196605,0.7716060178060379,0.061075778309615004
8,0.8740436055022058,0.025756873050441404,0.6016020742501279,0.06996711692740197,0.7729763697742115,0.06654457265350902
9,0.8720556193599655,0.026731400813964728,0.7151649399067901,0.0628121361715713,0.8231541893896295,0.05612681847692892
10,0.8376349124913206,0.026333875273145357,0.6345537576866169,0.06668049586759271,0.7245193232359164,0.06794539959536555
11,0.8279930752960549,0.028681389413154058,0.5390599475879965,0.06822002619762889,0.7141270602918964,0.06649169464691039
12,0.8167476956496094,0.028481776005871685,0.6395007742051625,0.06623772172291142,0.7131530076539022,0.06903785085820185
