user,run,seed,n_train,test_auc_mean ± std
31,10%,42,204,0.7337 ± 0.0754
31,10%,123,204,0.7998 ± 0.0687
31,10%,456,204,0.3506 ± 0.0840
31,10%,789,204,0.6699 ± 0.0780
31,10%,1011,204,0.7094 ± 0.0711
31,100%,full_data,2044,0.7027 ± 0.0719
