round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.8796797740983383,0.023423708549739016,0.6570650951400778,0.019907455526741565,0.6160797782240911,0.1340779585162757
1,0.788013502645158,0.027805359752261893,0.673599178463651,0.019634289065223867,0.6188297458267221,0.12278640547757419
2,0.7495532550929008,0.025765888898490314,0.6797508792084728,0.01919925512584429,0.5858396987830589,0.12347330128541757
3,0.7860701475915532,0.022422937943808785,0.66218527905244,0.019451299877785704,0.6319115156567343,0.12048947010344788
4,0.7584759795556687,0.021366677237695694,0.6761639059509028,0.01892737530014961,0.6149278310160062,0.12186211493278033
5,0.7325233836177257,0.0216714626212971,0.6649900109717237,0.018965285666567275,0.618302259197775,0.12839507350445006
6,0.7284344383587474,0.0203971901811207,0.6788199215816005,0.018987781389198488,0.6457440868570988,0.12860028662638726
7,0.7271931283043196,0.019716297835489435,0.6777287172243193,0.01889949099919154,0.6187493852495441,0.11898873470954038
8,0.7198316578468511,0.01800191757450531,0.6608554358261293,0.018993605570131328,0.6547767655186495,0.12270432670844462
9,0.7086940893442427,0.01799595352433524,0.6883823635459625,0.01897306487153897,0.6645870688792563,0.12835471938573126
10,0.7176162689654939,0.01707562524239927,0.684468057156907,0.0191633345994698,0.608574474394041,0.1236976523052735
11,0.6976579014622394,0.016003767565573437,0.6925306113726375,0.018974156585032678,0.6354613086273878,0.12206324364567041
12,0.7001171698097286,0.016377194921751076,0.6932904733392984,0.018784130806134135,0.6602152897462039,0.12153943002056185
13,0.6978786126794407,0.015606507531014955,0.6909564605147178,0.019086683401302148,0.6358631856245311,0.12824199436605255
14,0.6886236628387494,0.01578769521282007,0.6890371431686522,0.019095376523515582,0.627846293019322,0.13008051452184455
15,0.6918768417413838,0.014432465689591705,0.6880932521592779,0.019216093904353325,0.6513088763039423,0.12362435606407021
16,0.6938176821161407,0.01446491206858407,0.6891768020961866,0.01922018988095376,0.6803122611794343,0.12286438643858388
17,0.6805328678743069,0.014531092054102796,0.6928538717380108,0.018961367271561433,0.6655967755308222,0.12440531884134003
18,0.6853565978171827,0.013808556402469398,0.6931936524318119,0.019057717549598847,0.6650219120673783,0.1268987881099576
19,0.683909143801595,0.01318651244693833,0.6939564826909719,0.019109797921254966,0.6294728631985294,0.12609881604405576
20,0.6791253426033546,0.013475682639960363,0.6896717799597377,0.01910450928266121,0.7032086289236648,0.12704513709594115
21,0.6884968172203443,0.013179340377020952,0.6904105513955366,0.01880861898727584,0.660560264141644,0.1226156980093484
22,0.6849345867304283,0.012346627928914767,0.6921244779667397,0.018922361926447483,0.6158907078316986,0.12488743394722243
23,0.6961167177428516,0.012202023821020865,0.6901124351224223,0.01892448558113018,0.5760628779739259,0.12496654100689737
24,0.6844732872317013,0.012275289892542814,0.693046416520905,0.01917045381169599,0.6851410918762882,0.1276091361244802
