user,full_auc,full_auc_std
15,0.7275627352208368,0.08238249672648491
20,0.6638205075702718,0.1059322742334166
22,0.30733349124402487,0.17739751865331174
23,0.14020565651513542,0.06271800038713266
24,0.6128925721113906,0.14073121577051007
25,0.7633901153872995,0.069524991307773
26,0.682468230870965,0.13263488768399243
30,0.6219721145080103,0.08974889128261648
31,0.7026974269933796,0.0718935913835921
32,0.7388370764029604,0.13976970902132257
33,0.3803219634768813,0.17729869855501043
35,0.4388537927761981,0.1733127996777802
39,0.3882598531827152,0.145390478383472
40,0.21005447554479667,0.11890610353669759
