round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.5246589979880123,0.0936585631977865,0.47061166900288454,0.2177745097479983,0.10225189366526753,0.12642763383125932
1,0.9964409876148568,0.0034643188656330224,0.4737205338073571,0.229879054108318,0.5713652482269503,0.2382484292915414
2,0.9738330936462585,0.010773186663897564,0.5658184795569882,0.2546861334993614,0.5037101365368842,0.25032058254134754
3,0.9630338870592933,0.012043639149463936,0.5501800803894776,0.25316434171763036,0.4724489795918367,0.24499147491092318
