round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,AP_Test
0,581,2644,21.97428139183056,0.7840157426059904,0.02188281354840045,0.6275084100794488,0.019635889872763705,0.7119479527941175,0.05473215569196954,0.735067900366573
1,681,2644,25.75642965204236,0.7447708666360875,0.022257138735139008,0.668501595888961,0.01996327957149513,0.7634988043491883,0.05458000865448561,0.817055843680506
2,781,2644,29.538577912254162,0.7433641934366617,0.020134276405470213,0.6727795071684115,0.01952421457695583,0.7585209852478141,0.0545627456707761,0.7931553450031334
3,881,2644,33.32072617246596,0.7496672209111808,0.019015211430642387,0.6727755829535204,0.019259912492967036,0.7659091076922154,0.052520117610502674,0.8087511200152598
4,981,2644,37.10287443267776,0.7477904133773015,0.018310695462723386,0.6566055722994263,0.019426409913627,0.7721324399892151,0.05279429970850018,0.8222701093557336
5,1081,2644,40.885022692889564,0.729368478727248,0.018274960125393296,0.6690255974046813,0.018861369494439666,0.7936778463886378,0.04719111351832618,0.8209077919977438
6,1181,2644,44.66717095310136,0.7326343809574472,0.016678548787890348,0.6597616494173099,0.01933319676534162,0.783249757445378,0.051325502490366534,0.8126240874259683
7,1281,2644,48.44931921331316,0.7291299660395869,0.01618003396358226,0.6728196408217527,0.01912601567740738,0.763006995462408,0.05520207051723926,0.80120193305164
8,1381,2644,52.231467473524965,0.7222369968651349,0.015674179352396747,0.6794264794771923,0.019333463421986365,0.7788830256131818,0.050634958150400894,0.817964282384231
9,1481,2644,56.01361573373676,0.7153020150556958,0.01597390912888279,0.6802186773183946,0.019086472272797896,0.7689955870896336,0.05411572434729579,0.7917016030047184
10,1581,2644,59.79576399394856,0.7226456862045029,0.015122014656564932,0.6867211540146243,0.019006706850886682,0.7713139159007208,0.054470064934300344,0.8172314070621497
11,1681,2644,63.57791225416036,0.7195436071047292,0.014928221756656004,0.6878175839656238,0.019115356957923817,0.8052721758674064,0.05092482974094754,0.8358907165416297
12,1781,2644,67.36006051437217,0.728741767479123,0.014325844684954774,0.6952213726984867,0.019032084784538286,0.7836047245032439,0.05299631359971096,0.8529620699171545
13,1881,2644,71.14220877458396,0.7209116529384161,0.013699494678479477,0.6750355374589933,0.01932683262985017,0.756319134937692,0.05576458820492559,0.7818068573166828
14,1981,2644,74.92435703479576,0.7180261769175361,0.013112729451630967,0.6881867842585052,0.018965861859988706,0.8016574948592011,0.05120440460227279,0.8483416456643305
15,2081,2644,78.70650529500756,0.7253656127479897,0.01338449185128158,0.6893427801706541,0.018885447821554865,0.7916642989184692,0.0511551408538013,0.8382302830247235
16,2181,2644,82.48865355521936,0.7135815616931978,0.01293671336260978,0.6940074324783311,0.01898825412852478,0.8019122075517737,0.051620411267324695,0.8634016963651455
17,2281,2644,86.27080181543117,0.717435735795003,0.012506329687292445,0.6879656680485422,0.01908772290410408,0.7829558203364999,0.0530122885412204,0.8272313577004695
18,2381,2644,90.05295007564297,0.7160011966404787,0.012272890460642954,0.6917466668941359,0.019127253160348297,0.8273551846536438,0.04686984614569335,0.8722541518448825
19,2481,2644,93.83509833585477,0.7123322625089717,0.01213936078066785,0.6815463702552936,0.018933898190607187,0.797339334465428,0.05183504353891234,0.8553222823974995
20,2581,2644,97.61724659606656,0.714252370191537,0.012426614826109142,0.6915455958275296,0.018952386067737647,0.7993899910844916,0.052343660087409656,0.8667083050881191
21,2644,2644,100.0,0.698951345370966,0.011992474948117365,0.6904982676271854,0.01864717330075808,0.779465538193786,0.05374350886953088,0.8518911730414254
