round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.6709489542049539,0.0739607334738859,,
1,0.7551835968309536,0.06481100933869406,0.693069306930693,0.7292077256602285
2,0.7149174644909071,0.06778805675593491,0.6349206349206349,0.6819077650768625
3,0.7367070457334897,0.0667703803074951,0.6504065040650406,0.7000394166338195
4,0.7703554628489967,0.06527198160909166,0.6551724137931034,0.6988569176192353
5,0.7982728664849611,0.06180483776746872,0.7070707070707071,0.724477729601892
6,0.8199957063841532,0.05767585257080172,0.6605504587155964,0.7102877414268821
7,0.7408529100413168,0.06762583562401192,0.6666666666666666,0.7355143870713441
8,0.7134304441310055,0.07054900649404927,0.6446280991735537,0.7189594008671659
9,0.7357667056829336,0.06931737737341014,0.6829268292682927,0.7666535277887269
10,0.7620375429387025,0.06733264501494814,0.6915887850467289,0.7548285376428853
11,0.7555535159217193,0.06621104166113188,0.7238095238095238,0.750886874260938
12,0.7494546636267685,0.06800080892855809,0.72,0.7552227039810799
13,0.7232527191925158,0.07130769194901962,0.7017543859649122,0.7560110366574695
14,0.7198675951238495,0.0707064754684427,0.6788990825688074,0.7532518722901064
15,0.7505703833376758,0.06869440393816048,0.7083333333333334,0.7906976744186046
16,0.7534773500837433,0.0685986052685031,0.7272727272727273,0.7792668506109577
17,0.736475451022917,0.06891073506885668,0.6966292134831461,0.769018525817895
18,0.7545812842458773,0.0677304165630773,0.7311827956989247,0.778872684272763
19,0.7381197148430205,0.07394499818374986,0.72,0.7985810011824991
20,0.7710479062289155,0.06653066440414795,0.7128712871287128,0.7741426882144266
21,0.7770750323560123,0.06656168216177377,0.6990291262135923,0.7497043752463539
22,0.7729842266131302,0.06811679123826683,0.6938775510204082,0.7769018525817895
23,0.7630570422699868,0.06844655868877504,0.7032967032967034,0.7871501773748522
24,0.7653749213285587,0.06791028230032554,0.7157894736842105,0.7871501773748523
25,0.7627924934604539,0.06848823208672256,0.7272727272727273,0.7883326763894363
26,0.7534935375552521,0.07003743685698081,0.6782608695652174,0.7504927079227434
27,0.7770290936296417,0.06513782304471115,0.6792452830188679,0.7532518722901065
28,0.7631848607361938,0.06776771627450873,0.7254901960784313,0.7839968466692945
29,0.7549602567233701,0.06856942491346668,0.7346938775510204,0.7922743397713835
30,0.7475640918885866,0.06911094332731275,0.7142857142857143,0.7922743397713835
31,0.757361908530814,0.06879611772655231,0.7272727272727273,0.7887268427276309
32,0.7689970604671388,0.06955167877298703,0.7346938775510204,0.8037051635790304
33,0.7618028226054442,0.07068888331583036,0.7254901960784313,0.7946393378005518
34,0.7613669559559298,0.06930889635804326,0.7551020408163265,0.8033109972408357
35,0.7684831657154195,0.06878773428999223,0.7326732673267327,0.8037051635790304
36,0.7714404431465223,0.06842659796317574,0.7254901960784313,0.7993693338588884
37,0.7575208607914249,0.06996636809360739,0.7368421052631579,0.7950335041387466
38,0.7713158069405093,0.06880130970042381,0.7326732673267327,0.7930626724477728
39,0.77309894762358,0.06663599188311835,0.7252747252747253,0.8048876625936144
40,0.7665908643620503,0.06704042626667092,0.7058823529411765,0.8025226645644461
41,0.7732458668809365,0.06468806766135964,0.7083333333333334,0.8009459992116673
42,0.7757735419442251,0.06515789728943872,0.7333333333333333,0.8060701616081987
43,0.7648346049277075,0.06766156810331683,0.7441860465116279,0.8088293259755617
44,0.7549639250421866,0.06991395116447623,0.735632183908046,0.8147418210484825
45,0.762872208440787,0.0700903226142235,0.72,0.8131651556957035
46,0.7806631960760092,0.06691789637657329,0.7157894736842105,0.8115884903429247
