user,run,seed,n_train,test_auc_mean ± std
24,10%,42,204,0.7255 ± 0.1511
24,10%,123,204,0.4901 ± 0.1163
24,10%,456,204,0.5740 ± 0.1257
24,10%,789,204,0.5916 ± 0.1287
24,10%,1011,204,0.6794 ± 0.1368
24,100%,full_data,2044,0.6129 ± 0.1407
