round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.6470399246395506,0.06665745007426618,0.5953944850561621,0.06916671734286109,0.6202937246437823,0.07511867217973839
1,0.6395690147485839,0.06304030308054438,0.43664054039962064,0.06580564791526329,0.7279069122198701,0.06729310016791591
2,0.647294119177613,0.05769842415515061,0.5273200837582744,0.06715500785395564,0.7438171600805014,0.06536058416935656
3,0.7013002674662069,0.04958789242004908,0.6310033753238538,0.06805985808338556,0.7118544401014884,0.06964658515874846
4,0.7052638117248016,0.047583612534148494,0.6823280175349793,0.06234357950136813,0.7360999386070977,0.0667424050493138
5,0.7070192231695803,0.04606512145833247,0.7460745369180631,0.05966057073145293,0.7841779901961532,0.06513278291627561
6,0.6816938122955704,0.04253105262632582,0.7288579685810079,0.06504292502776242,0.7258207417662943,0.0749510291135491
7,0.6975744105447189,0.04087263908967347,0.7829346283315648,0.056045038469251664,0.7861353615567228,0.0642306528421064
8,0.7445386619786794,0.03528372100332312,0.7849865565360475,0.05740346110397375,0.7675912840220364,0.06667307176369648
9,0.7082294682714149,0.0376252613245005,0.7471723888238191,0.06074194409108599,0.7531509655261163,0.0716700595114859
10,0.7497657561877568,0.0343561860027471,0.7599132189547043,0.05959688786454591,0.7746505187031348,0.062214164985846906
11,0.7332869065851594,0.033791228620069294,0.771135855429732,0.05751219995442567,0.746218108028564,0.07434697118543367
12,0.7451698113052359,0.03094857794166121,0.8013723718133877,0.053648905829747455,0.818344217145303,0.06074423434997631
