round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.977122526759785,0.030553833606396803,0.5674603174603174,0.27374323409011175,0.22899476422440934,0.2098829091300668
1,0.9545832976026456,0.03486167159160027,0.5674603174603174,0.27374323409011175,0.29300709149352155,0.19243106030630058
2,0.932120567651987,0.04624918401951321,0.6564916564916566,0.3270247825463183,0.48255169499950296,0.26712138511617217
3,0.9541326399475376,0.022853323482385446,0.8421855921855922,0.20191326773333884,0.25976985783875134,0.19059026659446224
4,0.9570550120478171,0.019529919429767954,0.8421855921855922,0.20191326773333884,0.11665879643437055,0.15871060372776027
5,0.9498648626812736,0.021049243345072497,0.8421855921855922,0.20191326773333884,0.1269903403254134,0.16079167778289427
6,0.9011157615939905,0.03315624681749018,0.7442002442002442,0.2763935844666188,0.2986898134340723,0.20291920181333925
