seed,auc_test_mean,auc_test_std,num_train
42,0.6654454471767864,0.07802273769399033,
123,0.35480380924509913,0.073144390617287,
456,0.41593692087106615,0.07510417959700164,
789,0.4364006187100367,0.07648499504064259,
1011,0.4664103342879362,0.08327410320891727,
full_data,0.7112157409379244,0.06989294250656372,216.0
