round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.7630469094873932,0.06860287350085235,,
1,0.8038514605914713,0.05864955044619758,0.74,0.7430035474970438
2,0.8076790561712598,0.05740158599031997,0.7142857142857143,0.7583760346866377
3,0.8035284605681239,0.05974323981182611,0.7441860465116279,0.777690185258179
4,0.8036760371256424,0.0603188799668791,0.7358490566037735,0.7674418604651163
5,0.816874010527142,0.05974796220404601,0.7272727272727273,0.7607410327158062
6,0.8183076722957712,0.05911843712552971,0.7272727272727273,0.7658651951123374
7,0.8401577593970451,0.05203951427753319,0.72,0.7465510445407961
8,0.8200673193252933,0.056828283742406116,0.7555555555555555,0.7627118644067796
9,0.8121593717987079,0.059627124304391654,0.7619047619047619,0.7855735120220733
10,0.8133252655122953,0.058349597030774705,0.7555555555555555,0.7808435159637367
11,0.8184193735400993,0.05809757806291411,0.75,0.7796610169491525
12,0.8134749718484214,0.05878385476122635,0.7586206896551724,0.7962160031533307
13,0.8041248050937948,0.060541515441741404,0.75,0.7910918407567994
14,0.7981889880280347,0.0632906570532273,0.7142857142857143,0.798581001182499
15,0.8008436159227444,0.06285488560338584,0.7469879518072289,0.8206543161214032
16,0.8053564629274492,0.06224483791485762,0.775,0.813953488372093
17,0.7953536305240505,0.06429058444060415,0.7529411764705882,0.8147418210484825
18,0.80421131835016,0.06228138074617367,0.7654320987654321,0.8198659834450137
19,0.8090253274859326,0.06116855188272696,0.7469879518072289,0.8001576665352779
20,0.7893350724182164,0.06160026584947861,0.7184466019417476,0.7627118644067795
21,0.8049835660613542,0.06015312985518026,0.7102803738317757,0.7721718565234529
22,0.794466151405445,0.06055658040206395,0.7560975609756098,0.7906976744186047
23,0.8084827209098362,0.0591714108384547,0.7126436781609196,0.7851793456838785
24,0.8140859526533392,0.05918826970534334,0.6972477064220184,0.7792668506109578
25,0.8109640366961479,0.059916719991233734,0.7083333333333334,0.7820260149783209
26,0.7951647799953748,0.06333345133295669,0.7222222222222222,0.7690185258178952
27,0.7884547008519937,0.06302341975779792,0.7058823529411765,0.7812376823019314
28,0.7928581661641179,0.06412142512173177,0.7333333333333333,0.7883326763894364
29,0.7909936656308344,0.06349686711209071,0.7160493827160493,0.7847851793456839
30,0.7903707243517285,0.06415392190265015,0.7191011235955056,0.7883326763894364
31,0.7759157829709615,0.06626769838874778,0.7111111111111111,0.7879385100512416
