user,run,seed,n_train,test_auc_mean ± std
40,10%,42,204,0.2973 ± 0.1664
40,10%,123,204,0.6051 ± 0.1856
40,10%,456,204,0.4536 ± 0.1847
40,10%,789,204,0.3716 ± 0.1932
40,10%,1011,204,0.4965 ± 0.1724
40,100%,full_data,2044,0.2101 ± 0.1189
