round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.76339673743785,0.06687756691180105,,
1,0.7563195264102439,0.06419989278206768,0.6829268292682927,0.7583760346866377
2,0.723886985973334,0.0698008330695062,0.6349206349206349,0.7311785573512022
3,0.7919211268398142,0.060166551634685234,0.6590909090909091,0.7284193929838392
4,0.773725798225739,0.06393690336882396,0.631578947368421,0.6988569176192353
5,0.7858362196637099,0.06215817915076518,0.6753246753246753,0.7686243594797004
6,0.8144136104167427,0.05728543557886184,0.717948717948718,0.7796610169491525
7,0.788429181100143,0.057729681092757806,0.6451612903225806,0.706346078044935
8,0.8012602635608975,0.05847721696817652,0.6582278481012658,0.762317698068585
9,0.778429439345538,0.062272547344896394,0.6666666666666666,0.7548285376428853
10,0.786228728232765,0.06258777146207371,0.6813186813186813,0.7528577059519117
11,0.7523435432370267,0.0688160048179686,0.7317073170731707,0.802916830902641
12,0.7782868719344113,0.06625018449969385,0.7021276595744681,0.7721718565234529
13,0.7840187467522622,0.06467801708317474,0.7126436781609196,0.7784785179345683
14,0.781483229358817,0.06533260567765561,0.7209302325581395,0.7977926685061096
15,0.7767062917090193,0.06667241027251834,0.7083333333333334,0.7926685061095783
16,0.77667949980596,0.06664748461151347,0.7111111111111111,0.7962160031533306
