round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.5246589979880123,0.0936585631977865,0.47061166900288454,0.2177745097479983,0.10225189366526753,0.12642763383125932
1,0.9634022190993751,0.01559886361822261,0.4753078353946587,0.23381133819701821,0.5032680802817581,0.2390554901083446
2,0.9676464420366876,0.012009467889289416,0.5440419443228433,0.22818884485293056,0.5701946736141265,0.24052297094615857
3,0.9630303976973315,0.012022546691585936,0.6003273284427524,0.2431839533146112,0.5031462585034013,0.24125153021280513
