round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,AP_Test
0,10,2644,0.37821482602118,1.0,3.537464698262028e-18,0.5695327064174371,0.02082197945140854,0.5730194061142809,0.08957597072783124,0.5887025137898054
1,20,2644,0.75642965204236,1.0,1.7910765988207213e-17,0.5788462762543267,0.020388788142801727,0.6229643559033863,0.08672903113107451,0.61893594008947
2,30,2644,1.13464447806354,0.9766879540238783,0.0290476152481446,0.6354110143308341,0.020706063556023876,0.6131397239854457,0.08681642160774768,0.575283318380709
3,40,2644,1.51285930408472,0.9527082802722379,0.0377362692823016,0.5949075211112038,0.022209925046842823,0.7320441023064893,0.07629728578496481,0.8032867649934275
4,50,2644,1.8910741301059002,0.8837086174439278,0.05375509479997226,0.6478613922625934,0.020188958851779105,0.6272127992225471,0.08494896637836495,0.6034153820792814
5,60,2644,2.26928895612708,0.9700986718056408,0.021592605960157427,0.632326027349315,0.02086771775642742,0.7178987795086428,0.07583864373610243,0.7472408274385952
6,70,2644,2.6475037821482603,0.9620635282936219,0.024243439313119203,0.6354476473233629,0.02034219117669352,0.6636504243407457,0.0825956515785989,0.6340301709201709
7,80,2644,3.02571860816944,0.9724552563062464,0.01915811554421386,0.6250570590916142,0.020195961686231185,0.672870904646657,0.08196936845996106,0.6646646714740474
8,90,2644,3.40393343419062,0.9274546234982343,0.03266428389363176,0.6244348069261448,0.02075024651802419,0.7528155814163351,0.07096222387422682,0.7983182592064516
9,100,2644,3.7821482602118004,0.9356822553023078,0.028890593107853465,0.6302448530400387,0.02025418833509189,0.6525143741476686,0.08446551056700852,0.6003220027317052
10,110,2644,4.16036308623298,0.9734854029908613,0.015960717961199366,0.6260321695359714,0.020582469671070698,0.6695040941255338,0.08152425354756421,0.6492017277003187
11,120,2644,4.53857791225416,0.925584986854921,0.026944319263598027,0.639410549372592,0.02031469262138173,0.6564890896099322,0.08214166411907432,0.630223611458733
12,130,2644,4.9167927382753405,0.8865033179549703,0.03301989568702592,0.6493456634259054,0.019787316446038237,0.5662543597174863,0.09126959212598452,0.5265443194168561
13,140,2644,5.295007564296521,0.9310549771784817,0.025522985680853597,0.6359980081628569,0.019793478536426167,0.6090774088918147,0.08564899148842176,0.5944130070916467
14,150,2644,5.673222390317701,0.8738161371407691,0.031673292111444616,0.6189851386313463,0.020758061172458986,0.6359201295908102,0.08552197616441327,0.5795266247896326
15,160,2644,6.05143721633888,0.9274601107095953,0.02283147293083471,0.6606550143505561,0.01937732002128967,0.5392214084944905,0.08941458948891688,0.5159328649358057
16,170,2644,6.42965204236006,0.9029801259747421,0.028195488545511682,0.6536680767418762,0.01989519149828445,0.5666828939605947,0.08734783882775778,0.5495059482269076
17,180,2644,6.80786686838124,0.8882980847053301,0.029217996277635744,0.6571427910639879,0.019739683901037863,0.5666542693230616,0.08719422810063537,0.5405746935583874
18,190,2644,7.186081694402421,0.900258574726131,0.025751777764667288,0.6677141906709615,0.020088786729051605,0.5681938262362078,0.08834033841618356,0.5782865677786926
19,200,2644,7.564296520423601,0.8980311790196283,0.02500307210072806,0.6396388523673632,0.020596279455592288,0.6030448616369914,0.0866110637082406,0.594589633635396
20,210,2644,7.942511346444781,0.8831904344931096,0.02644593979475326,0.6472462774071736,0.020078501755902617,0.5383717572666551,0.09356358826821375,0.5037645289881881
