user,fruit,scenario,pool,model,n_train,n_test,train_auc,train_auc_std,test_auc,test_auc_std,n_val,pos_val,neg_val,val_auc,val_auc_std
ID10,Nectarine,Crave,global,logreg,327,16,0.7640682185769534,0.031662371403530266,0.6361347268646352,0.18984434589828675,20,6,14,0.3161508969467947,0.18509000482776633
ID12,Nectarine,Crave,global,logreg,327,6,0.7640682185769534,0.031662371403530266,0.4298245614035088,0.36732700404138435,4,2,2,0.6191117092866757,0.35204181808716256
ID20,Nectarine,Crave,global,logreg,327,5,0.7640682185769534,0.031662371403530266,1.0,0.0,9,3,6,0.7790712468193384,0.21651569171612228
ID21,Nectarine,Crave,global,logreg,327,84,0.7640682185769534,0.031662371403530266,0.7368883429684467,0.06885030458664834,102,43,59,0.7806955009023602,0.05461967308952407
ID27,Nectarine,Crave,global,logreg,327,14,0.7640682185769534,0.031662371403530266,0.5348898598873321,0.20377914021876292,15,8,7,0.48460474678002263,0.21383526880801357
